Pos.,Driver,BHR,AUS,MAL,CHN,ESP,MON,TUR,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,BRA,ABU,Points
1,Sebastian Vettel,4P,RetP,1,6P,3,2F,Ret,4,1P,7P,3PF,3PF,15,4,2,1P,RetP,1,1P,256
2,Fernando Alonso,1F,4,13†,4,2,6,8,3,8,14F,1,2,Ret,1PF,1PF,3,1F,3,7,252
3,Mark Webber,8,9F,2PF,8,1P,1P,3P,5,Ret,1,6,1,2P,6,3,2F,Ret,2,8,242
4,Lewis Hamilton,3,6,6,2F,14F†,5,1,1P,2,2,4,Ret,1F,Ret,Ret,5,2,4F,2F,240
5,Jenson Button,7,1,8,1,5,Ret,2,2,3F,4,5,8,Ret,2,4,4,12,5,3,214
6,Felipe Massa,2,3,7,9,6,4,7,15,11,15,2,4,4,3,8,Ret,3,15,10,144
7,Nico Rosberg,5,5,3,3,13,7,5,6,10,3,8,Ret,6,5,5,17†,Ret,6,4,142
8,Robert Kubica,11,2,4,5,8,3,6,7F,5,Ret,7,Ret,3,8,7,Ret,5,9,5,136
9,Michael Schumacher,6,10,Ret,10,4,12,4,11,15,9,9,11,7,9,13,6,4,7,Ret,72
10,Rubens Barrichello,10,8,12,12,9,Ret,14,14,4,5,12,10,Ret,10,6,9,7,14,12,47
11,Adrian Sutil,12,Ret,5,11,7,8,9,10,6,8,17,Ret,5,16,9,Ret,Ret,12,13,47
12,Kamui Kobayashi,Ret,Ret,Ret,Ret,12,Ret,10,Ret,7,6,11,9,8,Ret,Ret,7,8,10,14,32
13,Vitaly Petrov,Ret,Ret,Ret,7,11,13†,15F,17,14,13,10,5,9,13,11,Ret,Ret,16,6,27
14,Nico Hülkenberg,14,Ret,10,15,16,Ret,17,13,Ret,10,13,6,14,7,10,Ret,10,8P,16,22
15,Vitantonio Liuzzi,9,7,Ret,Ret,15†,9,13,9,16,11,16,13,10,12,Ret,Ret,6,Ret,Ret,21
16,Sébastien Buemi,16†,Ret,11,Ret,Ret,10,16,8,9,12,Ret,12,12,11,14,10,Ret,13,15,8
17,Pedro de la Rosa,Ret,12,DNS,Ret,Ret,Ret,11,Ret,12,Ret,14,7,11,14,,,,,,6
18,Nick Heidfeld,,,,,,,,,,,,,,,Ret,8,9,17,11,6
19,Jaime Alguersuari,13,11,9,13,10,11,12,12,13,Ret,15,Ret,13,15,12,11,11,11,9,5
20,Heikki Kovalainen,15,13,NC,14,DNS,Ret,Ret,16,Ret,17,Ret,14,16,18,16†,12,13,18,17,0
21,Jarno Trulli,17†,DNS,17,Ret,17,15†,Ret,Ret,21,16,Ret,15,19,Ret,Ret,13,Ret,19,21†,0
22,Karun Chandhok,Ret,14,15,17,Ret,14†,20†,18,18,19,,,,,,,,,,0
23,Bruno Senna,Ret,Ret,16,16,Ret,Ret,Ret,Ret,20,,19,17,Ret,Ret,Ret,15,14,21,19,0
24,Lucas di Grassi,Ret,Ret,14,Ret,19,Ret,19,19,17,Ret,Ret,18,17,20†,15,DNS,Ret,NC,18,0
25,Timo Glock,Ret,Ret,Ret,DNS,18,Ret,18,Ret,19,18,18,16,18,17,Ret,14,Ret,20,Ret,0
26,Sakon Yamamoto,,,,,,,,,,20,Ret,19,20,19,,16,15,,,0
27,Christian Klien,,,,,,,,,,,,,,,Ret,,,22,20,0
Pos.,Driver,BHR,AUS,MAL,CHN,ESP,MON,TUR,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,BRA,ABU,Points
Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146],Source:[146]
